Id,FirstName,LastName,Department,Email
1,William,Mortensen,Finance,9a001@eksamen.com,True
2,Laura,Olsen,R&D,73e2a@eksamen.com,True
3,Oliver,Nielsen,Management,b1846@eksamen.com,True
4,Noah,Jakobsen,R&D,1344f@eksamen.com,True
5,Sofie,Møller,Support,5945f@eksamen.com,True
6,Ava,Clausen,Finance,dd533@eksamen.com,True
7,Ida,Andersen,IT,57041@eksamen.com,True
8,Mikkel,Rasmussen,Support,8f9ff@eksamen.com,True
9,Oscar,Iversen,Finance,6fbaa@eksamen.com,True
10,Lærke,Iversen,Sales,3d028@eksamen.com,True
11,Sophia,Eriksen,Support,3f602@eksamen.com,True
12,Lucas,Lund,Support,6203f@eksamen.com,True
13,Mathias,Olsen,Management,9f52d@eksamen.com,True
14,Clara,Kristensen,IT,8919a@eksamen.com,True
15,Ava,Hansen,HR,53768@eksamen.com,True
16,Ella,Henriksen,Management,fb16b@eksamen.com,True
17,Nora,Henriksen,Finance,adc6c@eksamen.com,True
18,Alma,Christiansen,Sales,b5e47@eksamen.com,True
19,Alma,Henriksen,Finance,3fcf7@eksamen.com,True
20,William,Iversen,HR,648e6@eksamen.com,True
21,Sofie,Jakobsen,IT,5157f@eksamen.com,True
22,Mathias,Hansen,HR,a998d@eksamen.com,True
23,Magnus,Larsen,Management,25f0a@eksamen.com,True
24,Liam,Jørgensen,Support,796d1@eksamen.com,True
25,Alma,Johansen,Finance,064ae@eksamen.com,True
26,Clara,Iversen,Support,10570@eksamen.com,True
27,Ava,Andreasen,IT,c640b@eksamen.com,True
28,Ava,Johansen,Management,d548b@eksamen.com,True
29,Sophia,Madsen,Management,e5924@eksamen.com,True
30,Freja,Jeppesen,HR,198bc@eksamen.com,True
31,Lucas,Møller,Sales,3686f@eksamen.com,True
32,Isabella,Iversen,Sales,c06b0@eksamen.com,True
33,Ida,Jørgensen,IT,7aba9@eksamen.com,True
34,Lucas,Andreasen,Sales,89841@eksamen.com,True
35,Ida,Christensen,HR,c897c@eksamen.com,True
36,Clara,Knudsen,HR,db853@eksamen.com,True
37,Mathias,Christiansen,HR,a9f19@eksamen.com,True
38,Mathias,Larsen,IT,4ed04@eksamen.com,True
39,Oscar,Johansen,HR,b85a0@eksamen.com,True
40,Mathias,Madsen,R&D,3c083@eksamen.com,True
41,Laura,Jeppesen,Support,0371f@eksamen.com,True
42,Oscar,Jørgensen,Management,23dc0@eksamen.com,True
43,Lucas,Nielsen,Management,d66aa@eksamen.com,True
44,Liam,Knudsen,HR,dfee7@eksamen.com,True
45,Oliver,Clausen,R&D,26ccb@eksamen.com,True
46,William,Eriksen,Support,8d7db@eksamen.com,True
47,Sara,Jensen,R&D,1779d@eksamen.com,True
48,Mathias,Poulsen,Support,03fef@eksamen.com,True
49,William,Jakobsen,Sales,d20f7@eksamen.com,True
50,Mikkel,Pedersen,Support,82ec0@eksamen.com,True
51,Lucas,Thomsen,Support,36351@eksamen.com,True
52,Emma,Simonsen,R&D,91447@eksamen.com,True
53,Nora,Jakobsen,Sales,51a92@eksamen.com,True
54,Alma,Simonsen,Support,96826@eksamen.com,True
55,Mathias,Thomsen,HR,14401@eksamen.com,True
